Generating tableized rouge results from
input file: "results/D3jg_rouge_scores.out"
local time: 2018-05-21 17:19:34 

note: printing 'average' lines for table validation

0002: avg_line: "9 ROUGE-1 Average_R: 0.26919 (95%-conf.int. 0.25041 - 0.28797)"
0003: avg_line: "9 ROUGE-1 Average_P: 0.28255 (95%-conf.int. 0.26446 - 0.30178)"
0004: avg_line: "9 ROUGE-1 Average_F: 0.27525 (95%-conf.int. 0.25714 - 0.29397)"
0053: avg_line: "9 ROUGE-2 Average_R: 0.06918 (95%-conf.int. 0.05959 - 0.07892)"
0054: avg_line: "9 ROUGE-2 Average_P: 0.07227 (95%-conf.int. 0.06310 - 0.08202)"
0055: avg_line: "9 ROUGE-2 Average_F: 0.07057 (95%-conf.int. 0.06126 - 0.08042)"
0104: avg_line: "9 ROUGE-3 Average_R: 0.02129 (95%-conf.int. 0.01589 - 0.02728)"
0105: avg_line: "9 ROUGE-3 Average_P: 0.02214 (95%-conf.int. 0.01680 - 0.02799)"
0106: avg_line: "9 ROUGE-3 Average_F: 0.02167 (95%-conf.int. 0.01635 - 0.02758)"
0155: avg_line: "9 ROUGE-4 Average_R: 0.00738 (95%-conf.int. 0.00420 - 0.01105)"
0156: avg_line: "9 ROUGE-4 Average_P: 0.00760 (95%-conf.int. 0.00441 - 0.01128)"
0157: avg_line: "9 ROUGE-4 Average_F: 0.00748 (95%-conf.int. 0.00428 - 0.01115)"

--- Averages ---
,Averages,a.RECALL,b.PREC,c.F-SCORE
,D1007-A.M.100.B.9,0.0,0.0,0.0
,D1008-A.M.100.B.9,0.00417,0.00472,0.00443
,D1009-A.M.100.B.9,0.02294,0.025,0.02393
,D1010-A.M.100.B.9,0.06198,0.06579,0.06383
,D1011-A.M.100.C.9,0.01339,0.01364,0.01351
,D1012-A.M.100.C.9,0.0042,0.0049,0.00452
,D1013-A.M.100.C.9,0.0083,0.00926,0.00875
,D1014-A.M.100.C.9,0.0,0.0,0.0
,D1015-A.M.100.C.9,0.01167,0.0125,0.01207
,D1016-A.M.100.C.9,0.0186,0.01818,0.01839
,D1017-A.M.100.D.9,0.0,0.0,0.0
,D1018-A.M.100.D.9,0.06494,0.05952,0.06211
,D1019-A.M.100.D.9,0.02586,0.0283,0.02703
,D1020-A.M.100.D.9,0.00855,0.00893,0.00874
,D1021-A.M.100.D.9,0.02632,0.02632,0.02632
,D1022-A.M.100.D.9,0.04329,0.04098,0.0421
,D1023-A.M.100.E.9,0.00855,0.00893,0.00874
,D1024-A.M.100.E.9,0.0431,0.04098,0.04201
,D1025-A.M.100.E.9,0.01835,0.01961,0.01896
,D1026-A.M.100.E.9,0.0,0.0,0.0
,D1027-A.M.100.E.9,0.07377,0.07258,0.07317
,D1028-A.M.100.E.9,0.03448,0.03636,0.0354
,D1029-A.M.100.F.9,0.02586,0.02381,0.02479
,D1030-A.M.100.F.9,0.0041,0.00472,0.00439
,D1031-A.M.100.F.9,0.00844,0.00862,0.00853
,D1032-A.M.100.F.9,0.03937,0.04717,0.04292
,D1033-A.M.100.F.9,0.03419,0.0303,0.03213
,D1034-A.M.100.F.9,0.00851,0.00893,0.00871
,D1035-A.M.100.G.9,0.0042,0.00439,0.00429
,D1036-A.M.100.G.9,0.0,0.0,0.0
,D1037-A.M.100.G.9,0.0,0.0,0.0
,D1038-A.M.100.G.9,0.02429,0.03191,0.02758
,D1039-A.M.100.G.9,0.03376,0.03774,0.03564
,D1040-A.M.100.G.9,0.03084,0.03241,0.03161
,D1041-A.M.100.H.9,0.02439,0.02586,0.0251
,D1042-A.M.100.H.9,0.01395,0.01471,0.01432
,D1043-A.M.100.H.9,0.07895,0.07895,0.07895
,D1044-A.M.100.H.9,0.0131,0.01442,0.01373
,D1045-A.M.100.H.9,0.02033,0.02451,0.02223
,D1046-A.M.100.H.9,0.00813,0.00847,0.0083
----------------

--- ROUGE-4 ---
,ROUGE-4,a.ROUGE,b.PREC,c.F-SCORE
,D1001-A.M.100.A.9,0.01732,0.01961,0.01839
,D1002-A.M.100.A.9,0.01322,0.015,0.01405
,D1003-A.M.100.A.9,0.0,0.0,0.0
,D1004-A.M.100.A.9,0.00435,0.00417,0.00426
,D1005-A.M.100.A.9,0.00862,0.00943,0.00901
,D1006-A.M.100.A.9,0.0,0.0,0.0
,D1007-A.M.100.B.9,0.0,0.0,0.0
,D1008-A.M.100.B.9,0.0,0.0,0.0
,D1009-A.M.100.B.9,0.00935,0.0102,0.00976
,D1010-A.M.100.B.9,0.04622,0.04911,0.04762
,D1011-A.M.100.C.9,0.0,0.0,0.0
,D1012-A.M.100.C.9,0.0,0.0,0.0
,D1013-A.M.100.C.9,0.0,0.0,0.0
,D1014-A.M.100.C.9,0.0,0.0,0.0
,D1015-A.M.100.C.9,0.0,0.0,0.0
,D1016-A.M.100.C.9,0.00474,0.00463,0.00468
,D1017-A.M.100.D.9,0.0,0.0,0.0
,D1018-A.M.100.D.9,0.02643,0.02419,0.02526
,D1019-A.M.100.D.9,0.00439,0.00481,0.00459
,D1020-A.M.100.D.9,0.0,0.0,0.0
,D1021-A.M.100.D.9,0.00446,0.00446,0.00446
,D1022-A.M.100.D.9,0.00881,0.00833,0.00856
,D1023-A.M.100.E.9,0.00435,0.00455,0.00445
,D1024-A.M.100.E.9,0.02193,0.02083,0.02137
,D1025-A.M.100.E.9,0.0,0.0,0.0
,D1026-A.M.100.E.9,0.0,0.0,0.0
,D1027-A.M.100.E.9,0.02917,0.02869,0.02893
,D1028-A.M.100.E.9,0.01754,0.01852,0.01802
,D1029-A.M.100.F.9,0.01316,0.0121,0.01261
,D1030-A.M.100.F.9,0.0,0.0,0.0
,D1031-A.M.100.F.9,0.0,0.0,0.0
,D1032-A.M.100.F.9,0.004,0.00481,0.00437
,D1033-A.M.100.F.9,0.01304,0.01154,0.01224
,D1034-A.M.100.F.9,0.0,0.0,0.0
,D1035-A.M.100.G.9,0.0,0.0,0.0
,D1036-A.M.100.G.9,0.0,0.0,0.0
,D1037-A.M.100.G.9,0.0,0.0,0.0
,D1038-A.M.100.G.9,0.00823,0.01087,0.00937
,D1039-A.M.100.G.9,0.01717,0.01923,0.01814
,D1040-A.M.100.G.9,0.0,0.0,0.0
,D1041-A.M.100.H.9,0.00826,0.00877,0.00851
,D1042-A.M.100.H.9,0.0,0.0,0.0
,D1043-A.M.100.H.9,0.05357,0.05357,0.05357
,D1044-A.M.100.H.9,0.0,0.0,0.0
,D1045-A.M.100.H.9,0.00413,0.005,0.00452
,D1046-A.M.100.H.9,0.0,0.0,0.0
----------------
