Generating tableized rouge results from
input file: "results/D4_devtest_rouge_scores.out"
local time: 2018-05-31 16:53:52 

note: printing 'average' lines for table validation

0002: avg_line: "9 ROUGE-1 Average_R: 0.27873 (95%-conf.int. 0.25797 - 0.30017)"
0003: avg_line: "9 ROUGE-1 Average_P: 0.29114 (95%-conf.int. 0.27191 - 0.31118)"
0004: avg_line: "9 ROUGE-1 Average_F: 0.28432 (95%-conf.int. 0.26497 - 0.30507)"
0053: avg_line: "9 ROUGE-2 Average_R: 0.07790 (95%-conf.int. 0.06462 - 0.09090)"
0054: avg_line: "9 ROUGE-2 Average_P: 0.08061 (95%-conf.int. 0.06773 - 0.09415)"
0055: avg_line: "9 ROUGE-2 Average_F: 0.07911 (95%-conf.int. 0.06599 - 0.09230)"
0104: avg_line: "9 ROUGE-3 Average_R: 0.02694 (95%-conf.int. 0.01937 - 0.03398)"
0105: avg_line: "9 ROUGE-3 Average_P: 0.02764 (95%-conf.int. 0.02009 - 0.03482)"
0106: avg_line: "9 ROUGE-3 Average_F: 0.02725 (95%-conf.int. 0.01975 - 0.03429)"
0155: avg_line: "9 ROUGE-4 Average_R: 0.00988 (95%-conf.int. 0.00590 - 0.01426)"
0156: avg_line: "9 ROUGE-4 Average_P: 0.00999 (95%-conf.int. 0.00614 - 0.01419)"
0157: avg_line: "9 ROUGE-4 Average_F: 0.00992 (95%-conf.int. 0.00603 - 0.01418)"

--- Averages ---
,Averages,a.RECALL,b.PREC,c.F-SCORE
,D1007-A.M.100.B.9,0.00461,0.00521,0.00489
,D1008-A.M.100.B.9,0.0125,0.01339,0.01293
,D1009-A.M.100.B.9,0.06422,0.06481,0.06451
,D1010-A.M.100.B.9,0.06198,0.0625,0.06224
,D1011-A.M.100.C.9,0.01339,0.0163,0.0147
,D1012-A.M.100.C.9,0.0084,0.00893,0.00866
,D1013-A.M.100.C.9,0.0166,0.01754,0.01706
,D1014-A.M.100.C.9,0.0,0.0,0.0
,D1015-A.M.100.C.9,0.01556,0.01639,0.01596
,D1016-A.M.100.C.9,0.02326,0.02315,0.0232
,D1017-A.M.100.D.9,0.0,0.0,0.0
,D1018-A.M.100.D.9,0.08658,0.07692,0.08146
,D1019-A.M.100.D.9,0.02586,0.0283,0.02703
,D1020-A.M.100.D.9,0.00427,0.00481,0.00452
,D1021-A.M.100.D.9,0.06579,0.07353,0.06944
,D1022-A.M.100.D.9,0.06926,0.07407,0.07158
,D1023-A.M.100.E.9,0.00855,0.00877,0.00866
,D1024-A.M.100.E.9,0.07759,0.07759,0.07759
,D1025-A.M.100.E.9,0.0367,0.03333,0.03493
,D1026-A.M.100.E.9,0.0,0.0,0.0
,D1027-A.M.100.E.9,0.07377,0.07258,0.07317
,D1028-A.M.100.E.9,0.06897,0.0678,0.06838
,D1029-A.M.100.F.9,0.02586,0.02381,0.02479
,D1030-A.M.100.F.9,0.0082,0.00909,0.00862
,D1031-A.M.100.F.9,0.00422,0.00446,0.00434
,D1032-A.M.100.F.9,0.02362,0.0283,0.02575
,D1033-A.M.100.F.9,0.01709,0.01515,0.01606
,D1034-A.M.100.F.9,0.0,0.0,0.0
,D1035-A.M.100.G.9,0.01261,0.01562,0.01395
,D1036-A.M.100.G.9,0.0,0.0,0.0
,D1037-A.M.100.G.9,0.00481,0.00455,0.00468
,D1038-A.M.100.G.9,0.04049,0.0463,0.0432
,D1039-A.M.100.G.9,0.02532,0.02727,0.02626
,D1040-A.M.100.G.9,0.02203,0.02358,0.02278
,D1041-A.M.100.H.9,0.0,0.0,0.0
,D1042-A.M.100.H.9,0.02326,0.02404,0.02364
,D1043-A.M.100.H.9,0.07895,0.07627,0.07759
,D1044-A.M.100.H.9,0.02183,0.02315,0.02247
,D1045-A.M.100.H.9,0.02846,0.02917,0.02881
,D1046-A.M.100.H.9,0.0,0.0,0.0
----------------

--- ROUGE-4 ---
,ROUGE-4,a.ROUGE,b.PREC,c.F-SCORE
,D1001-A.M.100.A.9,0.02597,0.02679,0.02637
,D1002-A.M.100.A.9,0.00881,0.00943,0.00911
,D1003-A.M.100.A.9,0.0,0.0,0.0
,D1004-A.M.100.A.9,0.0,0.0,0.0
,D1005-A.M.100.A.9,0.00862,0.00943,0.00901
,D1006-A.M.100.A.9,0.01606,0.01786,0.01691
,D1007-A.M.100.B.9,0.0,0.0,0.0
,D1008-A.M.100.B.9,0.00847,0.00909,0.00877
,D1009-A.M.100.B.9,0.03271,0.03302,0.03286
,D1010-A.M.100.B.9,0.04622,0.04661,0.04641
,D1011-A.M.100.C.9,0.0,0.0,0.0
,D1012-A.M.100.C.9,0.0,0.0,0.0
,D1013-A.M.100.C.9,0.0,0.0,0.0
,D1014-A.M.100.C.9,0.0,0.0,0.0
,D1015-A.M.100.C.9,0.0,0.0,0.0
,D1016-A.M.100.C.9,0.00474,0.00472,0.00473
,D1017-A.M.100.D.9,0.0,0.0,0.0
,D1018-A.M.100.D.9,0.04405,0.03906,0.04141
,D1019-A.M.100.D.9,0.00439,0.00481,0.00459
,D1020-A.M.100.D.9,0.0,0.0,0.0
,D1021-A.M.100.D.9,0.02232,0.025,0.02358
,D1022-A.M.100.D.9,0.01762,0.01887,0.01822
,D1023-A.M.100.E.9,0.00435,0.00446,0.0044
,D1024-A.M.100.E.9,0.02632,0.02632,0.02632
,D1025-A.M.100.E.9,0.0,0.0,0.0
